InfluentScenarioID,InfluentFile,CycleIdx,CycleStartDay,Iter,AirReduc_,ReducDura,StartTime,ReductionDaysPattern,TankSelection,SOe,SIe,SSe,SNHe,SN2e,SNOe,SALKe,XIe,XSe,XBHe,XSTOe,XBAe,TSSe,Qe,COD,Failure,AE_orig_kWhd,AE_new_kWhd,SRT_d,COD_p95,SNHe_p95,EQI,EQI_new,IQI,IQI_new
1,influent_001.mat,1,150,13.5,0.37379688,4,9,TTh,T34,3.57E-07,29.71188229,29.6494747,35.09936977,4.033544635,0.000153965,7.431089664,23.66737922,2.261512161,32.54973851,9.072272968,0.115045155,54.28833761,17230.42524,127.027305,1,6811.128,3519.12,14.0125482,278.6815559,39.54852488,19151.10033,25909.37309,62671.23873,72930.09399
1,influent_001.mat,1,150,14,0.254980192,1.25,9,Wknd,T3,0.000661944,29.89449951,16.21728773,33.56669411,2.906344335,0.008071426,7.472444224,16.54884004,1.992294461,23.49101705,6.681599201,0.059094847,39.10991111,18524.88802,94.88463284,1,8452.301888,4221.461715,13.72599991,158.6043703,37.95242019,17849.87763,24614.28751,62496.96369,72641.31348
1,influent_001.mat,1,150,14.5,0.254980192,1.25,9,Wknd,T3,3.50E-07,29.71188229,29.58734945,34.72329517,4.405381143,0.00017083,7.404225987,23.74295094,2.265346438,32.5777988,9.083027259,0.126409444,54.38982681,17230.42524,127.0947646,1,6811.128,3519.12,14.01127694,279.1358919,39.16712623,19028.59806,25723.41981,62671.23873,72930.09399
1,influent_001.mat,1,150,15,0.129713844,2,12,TTh,T35,0.000485761,29.89449951,16.82728478,33.71110488,2.722301156,0.006670723,7.482859329,16.77430031,2.021091181,23.90554753,6.844841813,0.056851886,39.76960819,18524.88802,96.32441701,1,8116.900058,4059.361521,13.72183594,160.0078563,38.0162079,17999.76982,24800.02054,62496.96369,72641.31348
1,influent_001.mat,1,150,15.5,0.129713844,2,12,TTh,T35,3.54E-07,29.71188229,29.6244134,34.94347586,4.187774826,0.000160921,7.419953888,23.70182855,2.263202348,32.56142316,9.076876625,0.119743797,54.33294941,17230.42524,127.0593702,1,6811.128,3519.12,14.01198899,278.8846861,39.39004356,19100.56646,25832.57046,62671.23873,72930.09399
1,influent_001.mat,1,150,16,0.851477037,6.5,9,Wkdy,T45,0.000616997,29.89449951,16.46169029,33.60998205,2.855119808,0.007561478,7.475572644,16.5659244,1.994491433,23.53186622,6.692022601,0.058313902,39.16668755,18524.88802,95.19880836,1,8230.15598,4142.411754,13.72670283,158.8723358,37.86931738,17882.30774,24655.63111,62496.96369,72641.31348
1,influent_001.mat,1,150,16.5,0.851477037,6.5,9,Wkdy,T45,3.51E-07,29.71188229,29.59763328,34.77592181,4.353448196,0.000168485,7.407985201,23.74096093,2.265119656,32.57483484,9.082261061,0.124822122,54.38360834,17230.42524,127.0975142,1,6811.128,3519.12,14.01135588,279.1171898,39.22018345,19046.51188,25750.31695,62671.23873,72930.09399
1,influent_001.mat,1,150,17,0.938176956,7.5,12,TTh,T45,0.000674926,29.89449951,16.16794579,33.54016694,2.941263663,0.008287818,7.470533969,16.46901979,1.982128101,23.36293965,6.617207838,0.059312829,38.88871286,18524.88802,94.55305352,1,8393.556402,4206.99725,13.72921245,158.5657452,37.80404536,17814.38438,24570.98265,62496.96369,72641.31348
1,influent_001.mat,1,150,17.5,0.938176956,7.5,12,TTh,T45,3.49E-07,29.71188229,29.57961754,34.67419722,4.454312512,0.000173162,7.400718825,23.75960786,2.266068366,32.58159716,9.084735582,0.127917984,54.40866215,17230.42524,127.1114268,1,6811.128,3519.12,14.01103823,279.2271631,39.11712195,19013.10369,25699.71558,62671.23873,72930.09399
1,influent_001.mat,1,150,18,0.349610931,7.25,14,Wkdy,T45,9.44E-05,29.89449951,20.74759489,34.51521609,1.671118967,0.002065709,7.540624774,18.28073336,2.214237862,26.60427032,8.120918233,0.04234637,44.22573438,18524.88802,105.9046005,1,7338.991264,3726.152853,13.68033066,176.2470042,38.56186567,18941.27039,25949.28985,62496.96369,72641.31348
1,influent_001.mat,1,150,18.5,0.349610931,7.25,14,Wkdy,T45,3.80E-07,29.71188229,29.83733166,36.31143079,2.832309915,0.000102599,7.51766912,23.42092273,2.249680007,32.47409822,9.044112321,0.079288238,53.97746726,17230.42524,126.8173155,1,6811.128,3519.12,14.01646667,277.2809995,40.75242369,19547.17499,26510.13485,62671.23873,72930.09399
1,influent_001.mat,1,150,19,0.920374356,7,13,MWF,T4,0.000680545,29.89449951,16.13801038,33.53818423,2.944208312,0.00832128,7.470389957,16.46599562,1.981715565,23.35678924,6.614788096,0.059355145,38.8791862,18524.88802,94.51115356,1,8461.555374,4232.578361,13.72926457,158.2160069,37.80578517,17811.35886,24567.45645,62496.96369,72641.31348
1,influent_001.mat,1,150,19.5,0.920374356,7,13,MWF,T4,3.49E-07,29.71188229,29.57896612,34.67025038,4.458214212,0.000173343,7.400436895,23.76047312,2.266111813,32.58191465,9.084860633,0.128038283,54.40981272,17230.42524,127.1122469,1,6811.128,3519.12,14.01102386,279.2323836,39.11313045,19011.82595,25697.77304,62671.23873,72930.09399
1,influent_001.mat,1,150,20,0.731027135,5.75,11,Daily,T3,0.000481297,29.89449951,16.7923625,33.83227333,2.589242706,0.006189827,7.491548568,16.93591698,2.041208671,24.1626784,6.970477359,0.055281671,40.21129472,18524.88802,96.85242509,1,8309.240464,4169.989112,13.71678203,161.1037727,38.13434538,18090.18476,24918.70369,62496.96369,72641.31348
1,influent_001.mat,1,150,20.5,0.731027135,5.75,11,Daily,T3,3.56E-07,29.71188229,29.65584722,35.11336866,4.018281812,0.000153131,7.432089644,23.67149534,2.261775021,32.55348132,9.074218583,0.114607135,54.29576353,17230.42524,127.0433069,1,6811.128,3519.12,14.0124739,278.7225909,39.5638606,19156.89247,25917.66736,62671.23873,72930.09399
